monthly,cases_vax,cases_fvax,cases_pvax,cases_new
2020-01,0,0,0,8
2020-02,0,0,0,17
2020-03,0,0,0,2741
2020-04,0,0,0,3236
2020-05,0,0,0,1817
2020-06,0,0,0,820
2020-07,0,0,0,337
2020-08,0,0,0,364
2020-09,0,0,0,1884
2020-10,0,0,0,20324
2020-11,0,0,0,34149
2020-12,0,0,0,47313
2021-01,2,0,2,101949
2021-02,1,0,1,85793
2021-03,326,5,321,44748
2021-04,682,148,534,63213
2021-05,4477,1714,2763,163644
2021-06,10510,3372,7138,179622
2021-07,79855,16858,62997,361293
2021-08,287320,93079,194241,632982
2021-09,301373,201209,100164,499441
2021-10,52768,43476,9292,93899
