State,Population numbers,Total Area (km2),Population density
Selangor,6555400,7951,824.4749088
Sabah,3833000,73261,52.31978815
Johor,3794000,19166,197.9547115
Sarawak,2822200,124450,22.67738047
Perak,2508900,21146,118.6465525
Kedah,2194100,9492,231.1525495
Kelantan,1928800,15040,128.2446809
Penang,1774400,1049,1691.515729
Kuala Lumpur,1746600,243,7187.654321
Pahang,1684600,35965,46.83998332
Terengganu,1275100,12958,98.40253125
Negeri Sembilan,1129100,6658,169.5854611
Melaka,937500,1712,547.6051402
Perlis,255400,819,311.8437118
Putrajaya,116100,49,2369.387755
Labuan,100100,92,1088.043478
