year_month,category,total_cases
2020-1,Child,1
2020-1,Adolescent,0
2020-1,Adult,4
2020-1,Elder,0
2020-2,Child,1
2020-2,Adolescent,0
2020-2,Adult,12
2020-2,Elder,4
2020-3,Child,86
2020-3,Adolescent,108
2020-3,Adult,1960
2020-3,Elder,528
2020-4,Child,169
2020-4,Adolescent,233
2020-4,Adult,2176
2020-4,Elder,404
2020-5,Child,29
2020-5,Adolescent,75
2020-5,Adult,1242
2020-5,Elder,63
2020-6,Child,38
2020-6,Adolescent,68
2020-6,Adult,631
2020-6,Elder,25
2020-7,Child,15
2020-7,Adolescent,8
2020-7,Adult,263
2020-7,Elder,46
2020-8,Child,38
2020-8,Adolescent,18
2020-8,Adult,272
2020-8,Elder,35
2020-9,Child,137
2020-9,Adolescent,113
2020-9,Adult,1476
2020-9,Elder,117
2020-10,Child,1894
2020-10,Adolescent,1153
2020-10,Adult,15025
2020-10,Elder,1386
2020-11,Child,2502
2020-11,Adolescent,1616
2020-11,Adult,25888
2020-11,Elder,1472
2020-12,Child,2792
2020-12,Adolescent,1512
2020-12,Adult,38399
2020-12,Elder,2056
2021-1,Child,7898
2021-1,Adolescent,4232
2021-1,Adult,78348
2021-1,Elder,7015
2021-2,Child,5100
2021-2,Adolescent,2832
2021-2,Adult,67146
2021-2,Elder,4771
2021-3,Child,4218
2021-3,Adolescent,2180
2021-3,Adult,33389
2021-3,Elder,2986
2021-4,Child,6563
2021-4,Adolescent,6551
2021-4,Adult,43140
2021-4,Elder,5558
2021-5,Child,19778
2021-5,Adolescent,11928
2021-5,Adult,111009
2021-5,Elder,18806
2021-6,Child,22269
2021-6,Adolescent,11507
2021-6,Adult,123799
2021-6,Elder,15208
2021-7,Child,48223
2021-7,Adolescent,23319
2021-7,Adult,252606
2021-7,Elder,23990
2021-8,Child,93408
2021-8,Adolescent,44908
2021-8,Adult,429204
2021-8,Elder,45373
2021-9,Child,80498
2021-9,Adolescent,42121
2021-9,Adult,321687
2021-9,Elder,47385
2021-10,Child,17871
2021-10,Adolescent,7966
2021-10,Adult,62147
2021-10,Elder,11634
