monthly,cases_vax,cases_new,deaths_vax,deaths_new_dod
2020-03,0,2213,0,48
2020-04,0,3236,0,55
2020-05,0,1817,0,12
2020-06,0,820,0,6
2020-07,0,337,0,4
2020-08,0,364,0,3
2020-09,0,1884,0,10
2020-10,0,20324,0,129
2020-11,0,34149,0,116
2020-12,0,47313,0,131
2021-01,2,101949,0,396
2021-02,1,85793,0,308
2021-03,326,44748,1,134
2021-04,683,63213,0,257
2021-05,4484,163644,74,1615
2021-06,10514,179622,236,2498
2021-07,79879,361293,2022,6651
2021-08,287395,632982,3394,8838
2021-09,301546,499441,2384,5497
2021-10,68778,107884,417,817
