date,cases_new,cases_pvax,cases_fvax,cases_vax,deaths_new_dod,deaths_pvax,deaths_fvax,deaths_vax
17/3/2020,120,0,0,0,2,0,0,0
18/3/2020,117,0,0,0,0,0,0,0
19/3/2020,110,0,0,0,0,0,0,0
20/3/2020,130,0,0,0,1,0,0,0
21/3/2020,153,0,0,0,4,0,0,0
22/3/2020,123,0,0,0,4,0,0,0
23/3/2020,212,0,0,0,5,0,0,0
24/3/2020,106,0,0,0,2,0,0,0
25/3/2020,172,0,0,0,3,0,0,0
26/3/2020,235,0,0,0,5,0,0,0
27/3/2020,130,0,0,0,2,0,0,0
28/3/2020,159,0,0,0,6,0,0,0
29/3/2020,150,0,0,0,5,0,0,0
30/3/2020,156,0,0,0,4,0,0,0
31/3/2020,140,0,0,0,5,0,0,0
1/4/2020,142,0,0,0,2,0,0,0
2/4/2020,208,0,0,0,2,0,0,0
3/4/2020,217,0,0,0,5,0,0,0
4/4/2020,150,0,0,0,3,0,0,0
5/4/2020,179,0,0,0,2,0,0,0
6/4/2020,131,0,0,0,2,0,0,0
7/4/2020,170,0,0,0,1,0,0,0
8/4/2020,156,0,0,0,1,0,0,0
9/4/2020,109,0,0,0,2,0,0,0
10/4/2020,118,0,0,0,3,0,0,0
11/4/2020,184,0,0,0,3,0,0,0
12/4/2020,153,0,0,0,5,0,0,0
13/4/2020,134,0,0,0,1,0,0,0
14/4/2020,170,0,0,0,3,0,0,0
15/4/2020,85,0,0,0,2,0,0,0
16/4/2020,110,0,0,0,2,0,0,0
17/4/2020,69,0,0,0,1,0,0,0
18/4/2020,54,0,0,0,0,0,0,0
19/4/2020,84,0,0,0,1,0,0,0
20/4/2020,36,0,0,0,1,0,0,0
21/4/2020,57,0,0,0,2,0,0,0
22/4/2020,50,0,0,0,2,0,0,0
23/4/2020,71,0,0,0,1,0,0,0
24/4/2020,88,0,0,0,1,0,0,0
25/4/2020,51,0,0,0,2,0,0,0
26/4/2020,38,0,0,0,0,0,0,0
27/4/2020,40,0,0,0,1,0,0,0
28/4/2020,31,0,0,0,1,0,0,0
29/4/2020,94,0,0,0,1,0,0,0
30/4/2020,57,0,0,0,2,0,0,0
1/5/2020,69,0,0,0,0,0,0,0
2/5/2020,105,0,0,0,1,0,0,0
3/5/2020,122,0,0,0,1,0,0,0
4/5/2020,55,0,0,0,0,0,0,0
5/5/2020,30,0,0,0,2,0,0,0
6/5/2020,45,0,0,0,0,0,0,0
7/5/2020,39,0,0,0,1,0,0,0
8/5/2020,68,0,0,0,0,0,0,0
9/5/2020,54,0,0,0,1,0,0,0
10/5/2020,67,0,0,0,1,0,0,0
11/5/2020,70,0,0,0,0,0,0,0
12/5/2020,16,0,0,0,1,0,0,0
13/5/2020,37,0,0,0,2,0,0,0
14/5/2020,40,0,0,0,0,0,0,0
15/5/2020,36,0,0,0,0,0,0,0
16/5/2020,17,0,0,0,0,0,0,0
17/5/2020,22,0,0,0,0,0,0,0
18/5/2020,47,0,0,0,1,0,0,0
19/5/2020,37,0,0,0,0,0,0,0
20/5/2020,31,0,0,0,0,0,0,0
21/5/2020,50,0,0,0,1,0,0,0
22/5/2020,78,0,0,0,0,0,0,0
23/5/2020,48,0,0,0,0,0,0,0
24/5/2020,60,0,0,0,0,0,0,0
25/5/2020,172,0,0,0,0,0,0,0
26/5/2020,187,0,0,0,0,0,0,0
27/5/2020,15,0,0,0,0,0,0,0
28/5/2020,10,0,0,0,0,0,0,0
29/5/2020,103,0,0,0,0,0,0,0
30/5/2020,30,0,0,0,0,0,0,0
31/5/2020,57,0,0,0,0,0,0,0
1/6/2020,38,0,0,0,0,0,0,0
2/6/2020,20,0,0,0,0,0,0,0
3/6/2020,93,0,0,0,0,0,0,0
4/6/2020,277,0,0,0,1,0,0,0
5/6/2020,19,0,0,0,1,0,0,0
6/6/2020,37,0,0,0,0,0,0,0
7/6/2020,19,0,0,0,0,0,0,0
8/6/2020,7,0,0,0,0,0,0,0
9/6/2020,7,0,0,0,0,0,0,0
10/6/2020,2,0,0,0,1,0,0,0
11/6/2020,31,0,0,0,1,0,0,0
12/6/2020,33,0,0,0,2,0,0,0
13/6/2020,43,0,0,0,0,0,0,0
14/6/2020,8,0,0,0,0,0,0,0
15/6/2020,41,0,0,0,0,0,0,0
16/6/2020,11,0,0,0,0,0,0,0
17/6/2020,10,0,0,0,0,0,0,0
18/6/2020,14,0,0,0,0,0,0,0
19/6/2020,6,0,0,0,0,0,0,0
20/6/2020,21,0,0,0,0,0,0,0
21/6/2020,16,0,0,0,0,0,0,0
22/6/2020,15,0,0,0,0,0,0,0
23/6/2020,3,0,0,0,0,0,0,0
24/6/2020,6,0,0,0,0,0,0,0
25/6/2020,4,0,0,0,0,0,0,0
26/6/2020,6,0,0,0,0,0,0,0
27/6/2020,10,0,0,0,0,0,0,0
28/6/2020,18,0,0,0,0,0,0,0
29/6/2020,3,0,0,0,0,0,0,0
30/6/2020,2,0,0,0,0,0,0,0
1/7/2020,1,0,0,0,0,0,0,0
2/7/2020,3,0,0,0,0,0,0,0
3/7/2020,5,0,0,0,0,0,0,0
4/7/2020,10,0,0,0,0,0,0,0
5/7/2020,5,0,0,0,0,0,0,0
6/7/2020,5,0,0,0,0,0,0,0
7/7/2020,6,0,0,0,0,0,0,0
8/7/2020,3,0,0,0,0,0,0,0
9/7/2020,6,0,0,0,0,0,0,0
10/7/2020,13,0,0,0,1,0,0,0
11/7/2020,8,0,0,0,0,0,0,0
12/7/2020,14,0,0,0,0,0,0,0
13/7/2020,7,0,0,0,0,0,0,0
14/7/2020,4,0,0,0,0,0,0,0
15/7/2020,5,0,0,0,0,0,0,0
16/7/2020,3,0,0,0,0,0,0,0
17/7/2020,18,0,0,0,1,0,0,0
18/7/2020,9,0,0,0,0,0,0,0
19/7/2020,15,0,0,0,0,0,0,0
20/7/2020,21,0,0,0,0,0,0,0
21/7/2020,15,0,0,0,0,0,0,0
22/7/2020,16,0,0,0,0,0,0,0
23/7/2020,9,0,0,0,0,0,0,0
24/7/2020,21,0,0,0,0,0,0,0
25/7/2020,23,0,0,0,0,0,0,0
26/7/2020,13,0,0,0,1,0,0,0
27/7/2020,7,0,0,0,0,0,0,0
28/7/2020,39,0,0,0,0,0,0,0
29/7/2020,13,0,0,0,1,0,0,0
30/7/2020,8,0,0,0,0,0,0,0
31/7/2020,12,0,0,0,0,0,0,0
1/8/2020,9,0,0,0,0,0,0,0
2/8/2020,14,0,0,0,0,0,0,0
3/8/2020,2,0,0,0,0,0,0,0
4/8/2020,1,0,0,0,0,0,0,0
5/8/2020,21,0,0,0,0,0,0,0
6/8/2020,15,0,0,0,0,0,0,0
7/8/2020,25,0,0,0,0,0,0,0
8/8/2020,7,0,0,0,0,0,0,0
9/8/2020,13,0,0,0,0,0,0,0
10/8/2020,11,0,0,0,1,0,0,0
11/8/2020,9,0,0,0,0,0,0,0
12/8/2020,11,0,0,0,0,0,0,0
13/8/2020,15,0,0,0,0,0,0,0
14/8/2020,20,0,0,0,0,0,0,0
15/8/2020,26,0,0,0,0,0,0,0
16/8/2020,25,0,0,0,0,0,0,0
17/8/2020,12,0,0,0,0,0,0,0
18/8/2020,7,0,0,0,0,0,0,0
19/8/2020,16,0,0,0,0,0,0,0
20/8/2020,5,0,0,0,0,0,0,0
21/8/2020,9,0,0,0,0,0,0,0
22/8/2020,8,0,0,0,0,0,0,0
23/8/2020,10,0,0,0,0,0,0,0
24/8/2020,7,0,0,0,0,0,0,0
25/8/2020,11,0,0,0,0,0,0,0
26/8/2020,6,0,0,0,0,0,0,0
27/8/2020,5,0,0,0,0,0,0,0
28/8/2020,10,0,0,0,0,0,0,0
29/8/2020,11,0,0,0,1,0,0,0
30/8/2020,17,0,0,0,1,0,0,0
31/8/2020,6,0,0,0,0,0,0,0
1/9/2020,14,0,0,0,1,0,0,0
2/9/2020,6,0,0,0,0,0,0,0
3/9/2020,14,0,0,0,0,0,0,0
4/9/2020,11,0,0,0,0,0,0,0
5/9/2020,6,0,0,0,0,0,0,0
6/9/2020,6,0,0,0,0,0,0,0
7/9/2020,62,0,0,0,0,0,0,0
8/9/2020,100,0,0,0,0,0,0,0
9/9/2020,24,0,0,0,0,0,0,0
10/9/2020,45,0,0,0,0,0,0,0
11/9/2020,182,0,0,0,0,0,0,0
12/9/2020,58,0,0,0,0,0,0,0
13/9/2020,47,0,0,0,0,0,0,0
14/9/2020,31,0,0,0,1,0,0,0
15/9/2020,23,0,0,0,0,0,0,0
16/9/2020,62,0,0,0,0,0,0,0
17/9/2020,21,0,0,0,0,0,0,0
18/9/2020,95,0,0,0,1,0,0,0
19/9/2020,20,0,0,0,1,0,0,0
20/9/2020,52,0,0,0,0,0,0,0
21/9/2020,57,0,0,0,0,0,0,0
22/9/2020,82,0,0,0,1,0,0,0
23/9/2020,147,0,0,0,2,0,0,0
24/9/2020,72,0,0,0,0,0,0,0
25/9/2020,110,0,0,0,0,0,0,0
26/9/2020,82,0,0,0,1,0,0,0
27/9/2020,150,0,0,0,1,0,0,0
28/9/2020,115,0,0,0,1,0,0,0
29/9/2020,101,0,0,0,0,0,0,0
30/9/2020,89,0,0,0,0,0,0,0
1/10/2020,260,0,0,0,0,0,0,0
2/10/2020,287,0,0,0,3,0,0,0
3/10/2020,317,0,0,0,1,0,0,0
4/10/2020,293,0,0,0,2,0,0,0
5/10/2020,432,0,0,0,3,0,0,0
6/10/2020,691,0,0,0,1,0,0,0
7/10/2020,489,0,0,0,3,0,0,0
8/10/2020,375,0,0,0,5,0,0,0
9/10/2020,354,0,0,0,4,0,0,0
10/10/2020,374,0,0,0,3,0,0,0
11/10/2020,561,0,0,0,3,0,0,0
12/10/2020,563,0,0,0,3,0,0,0
13/10/2020,660,0,0,0,4,0,0,0
14/10/2020,660,0,0,0,4,0,0,0
15/10/2020,589,0,0,0,3,0,0,0
16/10/2020,629,0,0,0,6,0,0,0
17/10/2020,869,0,0,0,6,0,0,0
18/10/2020,871,0,0,0,2,0,0,0
19/10/2020,865,0,0,0,7,0,0,0
20/10/2020,862,0,0,0,4,0,0,0
21/10/2020,732,0,0,0,7,0,0,0
22/10/2020,847,0,0,0,11,0,0,0
23/10/2020,710,0,0,0,9,0,0,0
24/10/2020,1228,0,0,0,3,0,0,0
25/10/2020,823,0,0,0,6,0,0,0
26/10/2020,1240,0,0,0,2,0,0,0
27/10/2020,835,0,0,0,2,0,0,0
28/10/2020,801,0,0,0,10,0,0,0
29/10/2020,649,0,0,0,4,0,0,0
30/10/2020,799,0,0,0,3,0,0,0
31/10/2020,659,0,0,0,5,0,0,0
1/11/2020,957,0,0,0,4,0,0,0
2/11/2020,834,0,0,0,5,0,0,0
3/11/2020,1054,0,0,0,8,0,0,0
4/11/2020,1032,0,0,0,7,0,0,0
5/11/2020,1009,0,0,0,6,0,0,0
6/11/2020,1755,0,0,0,4,0,0,0
7/11/2020,1168,0,0,0,2,0,0,0
8/11/2020,852,0,0,0,4,0,0,0
9/11/2020,972,0,0,0,1,0,0,0
10/11/2020,869,0,0,0,2,0,0,0
11/11/2020,822,0,0,0,2,0,0,0
12/11/2020,919,0,0,0,0,0,0,0
13/11/2020,1304,0,0,0,3,0,0,0
14/11/2020,1114,0,0,0,9,0,0,0
15/11/2020,1208,0,0,0,3,0,0,0
16/11/2020,1103,0,0,0,3,0,0,0
17/11/2020,1210,0,0,0,3,0,0,0
18/11/2020,660,0,0,0,5,0,0,0
19/11/2020,1290,0,0,0,4,0,0,0
20/11/2020,958,0,0,0,3,0,0,0
21/11/2020,1041,0,0,0,4,0,0,0
22/11/2020,1096,0,0,0,4,0,0,0
23/11/2020,1884,0,0,0,4,0,0,0
24/11/2020,2188,0,0,0,0,0,0,0
25/11/2020,970,0,0,0,4,0,0,0
26/11/2020,935,0,0,0,3,0,0,0
27/11/2020,1109,0,0,0,2,0,0,0
28/11/2020,1315,0,0,0,5,0,0,0
29/11/2020,1309,0,0,0,6,0,0,0
30/11/2020,1212,0,0,0,6,0,0,0
1/12/2020,1472,0,0,0,0,0,0,0
2/12/2020,851,0,0,0,6,0,0,0
3/12/2020,1075,0,0,0,1,0,0,0
4/12/2020,1141,0,0,0,1,0,0,0
5/12/2020,1123,0,0,0,4,0,0,0
6/12/2020,1335,0,0,0,2,0,0,0
7/12/2020,1600,0,0,0,4,0,0,0
8/12/2020,1012,0,0,0,6,0,0,0
9/12/2020,959,0,0,0,3,0,0,0
10/12/2020,2234,0,0,0,8,0,0,0
11/12/2020,1810,0,0,0,6,0,0,0
12/12/2020,1937,0,0,0,6,0,0,0
13/12/2020,1229,0,0,0,2,0,0,0
14/12/2020,1371,0,0,0,1,0,0,0
15/12/2020,1772,0,0,0,5,0,0,0
16/12/2020,1295,0,0,0,3,0,0,0
17/12/2020,1220,0,0,0,4,0,0,0
18/12/2020,1683,0,0,0,2,0,0,0
19/12/2020,1153,0,0,0,4,0,0,0
20/12/2020,1340,0,0,0,4,0,0,0
21/12/2020,2018,0,0,0,2,0,0,0
22/12/2020,2062,0,0,0,5,0,0,0
23/12/2020,1348,0,0,0,3,0,0,0
24/12/2020,1581,0,0,0,10,0,0,0
25/12/2020,1247,0,0,0,4,0,0,0
26/12/2020,2335,0,0,0,8,0,0,0
27/12/2020,1196,0,0,0,1,0,0,0
28/12/2020,1594,0,0,0,8,0,0,0
29/12/2020,1925,0,0,0,3,0,0,0
30/12/2020,1870,0,0,0,8,0,0,0
31/12/2020,2525,0,0,0,7,0,0,0
1/1/2021,2068,0,0,0,12,0,0,0
2/1/2021,2295,0,0,0,9,0,0,0
3/1/2021,1704,0,0,0,8,0,0,0
4/1/2021,1741,0,0,0,10,0,0,0
5/1/2021,2027,0,0,0,10,0,0,0
6/1/2021,2593,0,0,0,17,0,0,0
7/1/2021,3027,0,0,0,6,0,0,0
8/1/2021,2643,0,0,0,12,0,0,0
9/1/2021,2451,0,0,0,8,0,0,0
10/1/2021,2433,0,0,0,12,0,0,0
11/1/2021,2232,0,0,0,3,0,0,0
12/1/2021,3309,0,0,0,10,0,0,0
13/1/2021,2985,0,0,0,9,0,0,0
14/1/2021,3337,0,0,0,13,0,0,0
15/1/2021,3211,0,0,0,14,0,0,0
16/1/2021,4029,0,0,0,15,0,0,0
17/1/2021,3339,0,0,0,11,0,0,0
18/1/2021,3306,0,0,0,16,0,0,0
19/1/2021,3631,0,0,0,10,0,0,0
20/1/2021,4008,0,0,0,20,0,0,0
21/1/2021,3170,0,0,0,15,0,0,0
22/1/2021,3631,1,0,1,16,0,0,0
23/1/2021,4275,0,0,0,15,0,0,0
24/1/2021,3346,0,0,0,11,0,0,0
25/1/2021,3048,1,0,1,16,0,0,0
26/1/2021,3585,0,0,0,20,0,0,0
27/1/2021,3680,0,0,0,16,0,0,0
28/1/2021,4094,0,0,0,12,0,0,0
29/1/2021,5725,0,0,0,19,0,0,0
30/1/2021,5728,0,0,0,13,0,0,0
31/1/2021,5298,0,0,0,18,0,0,0
1/2/2021,4214,0,0,0,15,0,0,0
2/2/2021,3455,0,0,0,14,0,0,0
3/2/2021,4284,0,0,0,20,0,0,0
4/2/2021,4571,0,0,0,22,0,0,0
5/2/2021,3391,0,0,0,8,0,0,0
6/2/2021,3847,0,0,0,16,0,0,0
7/2/2021,3731,0,0,0,12,0,0,0
8/2/2021,3100,0,0,0,23,0,0,0
9/2/2021,2764,0,0,0,13,0,0,0
10/2/2021,3288,0,0,0,11,0,0,0
11/2/2021,3384,0,0,0,13,0,0,0
12/2/2021,3318,0,0,0,6,0,0,0
13/2/2021,3499,0,0,0,15,0,0,0
14/2/2021,2464,0,0,0,9,0,0,0
15/2/2021,2176,0,0,0,14,0,0,0
16/2/2021,2720,0,0,0,12,0,0,0
17/2/2021,2998,0,0,0,7,0,0,0
18/2/2021,2712,0,0,0,7,0,0,0
19/2/2021,2936,0,0,0,9,0,0,0
20/2/2021,2461,0,0,0,8,0,0,0
21/2/2021,3297,1,0,1,5,0,0,0
22/2/2021,2192,0,0,0,10,0,0,0
23/2/2021,2468,0,0,0,10,0,0,0
24/2/2021,3545,0,0,0,5,0,0,0
25/2/2021,1924,0,0,0,6,0,0,0
26/2/2021,2253,0,0,0,3,0,0,0
27/2/2021,2364,0,0,0,10,0,0,0
28/2/2021,2437,0,0,0,5,0,0,0
1/3/2021,1828,0,0,0,4,0,0,0
2/3/2021,1555,0,1,1,9,0,0,0
3/3/2021,1745,1,0,1,4,0,0,0
4/3/2021,2063,1,0,1,3,0,0,0
5/3/2021,2154,3,0,3,8,0,0,0
6/3/2021,1680,2,0,2,4,0,0,0
7/3/2021,1683,2,0,2,5,0,0,0
8/3/2021,1529,7,0,7,6,0,0,0
9/3/2021,1280,3,0,3,8,0,0,0
10/3/2021,1448,2,0,2,7,0,0,0
11/3/2021,1647,19,0,19,4,0,0,0
12/3/2021,1575,5,0,5,3,0,0,0
13/3/2021,1470,17,0,17,3,0,0,0
14/3/2021,1354,12,1,13,4,0,0,0
15/3/2021,1208,15,1,16,4,0,0,0
16/3/2021,1063,13,0,13,3,0,0,0
17/3/2021,1219,14,0,14,2,0,0,0
18/3/2021,1213,13,0,13,1,0,0,0
19/3/2021,1576,15,0,15,1,0,0,0
20/3/2021,1671,21,0,21,5,0,0,0
21/3/2021,1327,15,0,15,5,0,0,0
22/3/2021,1116,6,0,6,2,0,0,0
23/3/2021,1384,20,0,20,2,0,0,0
24/3/2021,1268,17,0,17,4,0,0,0
25/3/2021,1360,17,0,17,2,0,0,0
26/3/2021,1275,10,1,11,1,0,0,0
27/3/2021,1199,12,0,12,8,0,0,0
28/3/2021,1302,12,0,12,3,1,0,1
29/3/2021,941,12,0,12,4,0,0,0
30/3/2021,1133,15,1,16,6,0,0,0
31/3/2021,1482,20,0,20,9,0,0,0
1/4/2021,1178,8,0,8,3,0,0,0
2/4/2021,1294,7,0,7,2,0,0,0
3/4/2021,1638,9,0,9,5,0,0,0
4/4/2021,1349,8,0,8,6,0,0,0
5/4/2021,1070,10,0,10,4,0,0,0
6/4/2021,1300,10,1,11,3,0,0,0
7/4/2021,1139,17,0,17,2,0,0,0
8/4/2021,1285,11,1,12,6,0,0,0
9/4/2021,1854,31,2,33,7,0,0,0
