,date,cases_new,cases_pvax,cases_fvax,cases_vax,month,year,monthly
0,2020-01-25,4,0.0,0.0,0.0,1,2020,2020-01
1,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
2,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
3,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
4,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
5,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
6,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
7,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
8,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
9,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
10,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
11,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
12,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
13,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
14,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
15,2020-01-25,0,0.0,0.0,0.0,1,2020,2020-01
16,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
17,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
18,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
19,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
20,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
21,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
22,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
23,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
24,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
25,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
26,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
27,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
28,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
29,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
30,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
31,2020-01-26,0,0.0,0.0,0.0,1,2020,2020-01
32,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
33,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
34,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
35,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
36,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
37,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
38,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
39,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
40,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
41,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
42,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
43,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
44,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
45,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
46,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
47,2020-01-27,0,0.0,0.0,0.0,1,2020,2020-01
48,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
49,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
50,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
51,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
52,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
53,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
54,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
55,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
56,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
57,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
58,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
59,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
60,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
61,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
62,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
63,2020-01-28,0,0.0,0.0,0.0,1,2020,2020-01
64,2020-01-29,2,0.0,0.0,0.0,1,2020,2020-01
65,2020-01-29,1,0.0,0.0,0.0,1,2020,2020-01
66,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
67,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
68,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
69,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
70,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
71,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
72,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
73,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
74,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
75,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
76,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
77,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
78,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
79,2020-01-29,0,0.0,0.0,0.0,1,2020,2020-01
80,2020-01-30,1,0.0,0.0,0.0,1,2020,2020-01
81,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
82,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
83,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
84,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
85,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
86,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
87,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
88,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
89,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
90,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
91,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
92,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
93,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
94,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
95,2020-01-30,0,0.0,0.0,0.0,1,2020,2020-01
96,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
97,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
98,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
99,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
100,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
101,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
102,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
103,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
104,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
105,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
106,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
107,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
108,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
109,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
110,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
111,2020-01-31,0,0.0,0.0,0.0,1,2020,2020-01
112,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
113,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
114,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
115,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
116,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
117,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
118,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
119,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
120,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
121,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
122,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
123,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
124,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
125,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
126,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
127,2020-01-02,0,0.0,0.0,0.0,1,2020,2020-01
128,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
129,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
130,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
131,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
132,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
133,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
134,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
135,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
136,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
137,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
138,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
139,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
140,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
141,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
142,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
143,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
144,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
145,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
146,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
147,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
148,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
149,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
150,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
151,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
152,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
153,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
