,date,cases_new,cases_child,cases_adolescent,cases_adult,cases_elderly
0,25/1/2020,4,0,0,1,0
1,26/1/2020,0,0,0,0,0
2,27/1/2020,0,0,0,0,0
3,28/1/2020,0,0,0,0,0
4,29/1/2020,3,1,0,2,0
5,30/1/2020,1,0,0,1,0
6,31/1/2020,0,0,0,0,0
7,1/2/2020,0,0,0,0,0
8,2/2/2020,0,0,0,0,0
9,3/2/2020,0,0,0,0,0
10,4/2/2020,2,0,0,1,1
11,5/2/2020,2,1,0,1,0
12,6/2/2020,2,0,0,2,0
13,7/2/2020,1,0,0,1,0
14,8/2/2020,1,0,0,0,1
15,9/2/2020,1,0,0,0,1
16,10/2/2020,1,0,0,1,0
17,11/2/2020,0,0,0,0,0
18,12/2/2020,0,0,0,0,0
19,13/2/2020,0,0,0,0,0
20,14/2/2020,1,0,0,1,0
21,15/2/2020,3,0,0,2,1
22,16/2/2020,0,0,0,0,0
23,17/2/2020,0,0,0,0,0
24,18/2/2020,0,0,0,0,0
25,19/2/2020,0,0,0,0,0
26,20/2/2020,0,0,0,0,0
27,21/2/2020,0,0,0,0,0
28,22/2/2020,0,0,0,0,0
29,23/2/2020,0,0,0,0,0
30,24/2/2020,0,0,0,0,0
31,25/2/2020,0,0,0,0,0
32,26/2/2020,0,0,0,0,0
33,27/2/2020,1,0,0,1,0
34,28/2/2020,2,0,0,2,0
35,29/2/2020,0,0,0,0,0
36,1/3/2020,4,0,0,4,0
37,2/3/2020,0,0,0,0,0
38,3/3/2020,7,0,0,7,0
39,4/3/2020,14,0,0,10,4
40,5/3/2020,5,1,0,3,1
41,6/3/2020,28,1,1,23,3
42,7/3/2020,10,0,1,7,2
43,8/3/2020,6,1,0,5,0
44,9/3/2020,18,0,1,12,5
45,10/3/2020,12,0,0,11,1
46,11/3/2020,20,1,1,10,8
47,12/3/2020,9,0,0,6,3
48,13/3/2020,39,0,0,31,8
49,14/3/2020,41,0,0,33,8
50,15/3/2020,190,3,3,125,50
51,16/3/2020,125,4,3,85,30
52,17/3/2020,120,5,3,90,22
53,18/3/2020,117,4,8,79,25
54,19/3/2020,110,6,6,78,20
55,20/3/2020,130,2,6,97,22
56,21/3/2020,153,7,3,106,34
57,22/3/2020,123,2,6,96,19
58,23/3/2020,212,2,4,155,35
59,24/3/2020,106,3,7,73,18
60,25/3/2020,172,4,6,112,45
61,26/3/2020,235,12,17,166,35
62,27/3/2020,130,7,3,95,23
63,28/3/2020,159,5,9,112,32
64,29/3/2020,150,4,6,110,27
65,30/3/2020,156,8,7,119,20
66,31/3/2020,140,4,7,100,28
67,1/4/2020,142,7,10,104,20
68,2/4/2020,208,8,12,142,38
69,3/4/2020,217,6,17,166,25
70,4/4/2020,150,2,7,112,15
71,5/4/2020,179,17,19,115,22
72,6/4/2020,131,13,5,78,30
73,7/4/2020,170,13,13,114,22
74,8/4/2020,156,8,19,102,26
75,9/4/2020,109,4,4,85,15
76,10/4/2020,118,2,11,84,20
77,11/4/2020,184,14,9,116,18
78,12/4/2020,153,13,7,85,17
79,13/4/2020,134,3,12,99,9
80,14/4/2020,170,6,10,126,23
81,15/4/2020,85,3,3,55,24
82,16/4/2020,110,15,15,63,15
83,17/4/2020,69,8,6,44,8
