,date,state,cases_new
0,2020-01-25,Johor,4
1,2020-01-25,Kedah,0
2,2020-01-25,Kelantan,0
3,2020-01-25,Melaka,0
4,2020-01-25,Negeri Sembilan,0
5,2020-01-25,Pahang,0
6,2020-01-25,Perak,0
7,2020-01-25,Perlis,0
8,2020-01-25,Pulau Pinang,0
9,2020-01-25,Sabah,0
10,2020-01-25,Sarawak,0
11,2020-01-25,Selangor,0
12,2020-01-25,Terengganu,0
13,2020-01-25,W.P. Kuala Lumpur,0
14,2020-01-25,W.P. Labuan,0
15,2020-01-25,W.P. Putrajaya,0
16,2020-01-26,Johor,0
17,2020-01-26,Kedah,0
18,2020-01-26,Kelantan,0
19,2020-01-26,Melaka,0
20,2020-01-26,Negeri Sembilan,0
21,2020-01-26,Pahang,0
22,2020-01-26,Perak,0
23,2020-01-26,Perlis,0
24,2020-01-26,Pulau Pinang,0
25,2020-01-26,Sabah,0
26,2020-01-26,Sarawak,0
27,2020-01-26,Selangor,0
28,2020-01-26,Terengganu,0
29,2020-01-26,W.P. Kuala Lumpur,0
30,2020-01-26,W.P. Labuan,0
31,2020-01-26,W.P. Putrajaya,0
32,2020-01-27,Johor,0
33,2020-01-27,Kedah,0
34,2020-01-27,Kelantan,0
35,2020-01-27,Melaka,0
36,2020-01-27,Negeri Sembilan,0
37,2020-01-27,Pahang,0
38,2020-01-27,Perak,0
39,2020-01-27,Perlis,0
40,2020-01-27,Pulau Pinang,0
41,2020-01-27,Sabah,0
42,2020-01-27,Sarawak,0
43,2020-01-27,Selangor,0
44,2020-01-27,Terengganu,0
45,2020-01-27,W.P. Kuala Lumpur,0
46,2020-01-27,W.P. Labuan,0
47,2020-01-27,W.P. Putrajaya,0
48,2020-01-28,Johor,0
49,2020-01-28,Kedah,0
50,2020-01-28,Kelantan,0
51,2020-01-28,Melaka,0
52,2020-01-28,Negeri Sembilan,0
53,2020-01-28,Pahang,0
54,2020-01-28,Perak,0
55,2020-01-28,Perlis,0
56,2020-01-28,Pulau Pinang,0
57,2020-01-28,Sabah,0
58,2020-01-28,Sarawak,0
59,2020-01-28,Selangor,0
60,2020-01-28,Terengganu,0
61,2020-01-28,W.P. Kuala Lumpur,0
62,2020-01-28,W.P. Labuan,0
63,2020-01-28,W.P. Putrajaya,0
64,2020-01-29,Johor,2
65,2020-01-29,Kedah,1
66,2020-01-29,Kelantan,0
67,2020-01-29,Melaka,0
68,2020-01-29,Negeri Sembilan,0
69,2020-01-29,Pahang,0
70,2020-01-29,Perak,0
71,2020-01-29,Perlis,0
72,2020-01-29,Pulau Pinang,0
73,2020-01-29,Sabah,0
74,2020-01-29,Sarawak,0
75,2020-01-29,Selangor,0
76,2020-01-29,Terengganu,0
77,2020-01-29,W.P. Kuala Lumpur,0
78,2020-01-29,W.P. Labuan,0
79,2020-01-29,W.P. Putrajaya,0
80,2020-01-30,Johor,1
81,2020-01-30,Kedah,0
82,2020-01-30,Kelantan,0
83,2020-01-30,Melaka,0
84,2020-01-30,Negeri Sembilan,0
85,2020-01-30,Pahang,0
86,2020-01-30,Perak,0
87,2020-01-30,Perlis,0
88,2020-01-30,Pulau Pinang,0
89,2020-01-30,Sabah,0
90,2020-01-30,Sarawak,0
91,2020-01-30,Selangor,0
92,2020-01-30,Terengganu,0
93,2020-01-30,W.P. Kuala Lumpur,0
94,2020-01-30,W.P. Labuan,0
95,2020-01-30,W.P. Putrajaya,0
96,2020-01-31,Johor,0
97,2020-01-31,Kedah,0
98,2020-01-31,Kelantan,0
99,2020-01-31,Melaka,0
100,2020-01-31,Negeri Sembilan,0
101,2020-01-31,Pahang,0
102,2020-01-31,Perak,0
103,2020-01-31,Perlis,0
104,2020-01-31,Pulau Pinang,0
105,2020-01-31,Sabah,0
106,2020-01-31,Sarawak,0
107,2020-01-31,Selangor,0
108,2020-01-31,Terengganu,0
109,2020-01-31,W.P. Kuala Lumpur,0
110,2020-01-31,W.P. Labuan,0
111,2020-01-31,W.P. Putrajaya,0
112,2020-01-02,Johor,0
113,2020-01-02,Kedah,0
114,2020-01-02,Kelantan,0
115,2020-01-02,Melaka,0
116,2020-01-02,Negeri Sembilan,0
117,2020-01-02,Pahang,0
118,2020-01-02,Perak,0
119,2020-01-02,Perlis,0
120,2020-01-02,Pulau Pinang,0
121,2020-01-02,Sabah,0
122,2020-01-02,Sarawak,0
123,2020-01-02,Selangor,0
124,2020-01-02,Terengganu,0
125,2020-01-02,W.P. Kuala Lumpur,0
126,2020-01-02,W.P. Labuan,0
127,2020-01-02,W.P. Putrajaya,0
128,2020-02-02,Johor,0
129,2020-02-02,Kedah,0
130,2020-02-02,Kelantan,0
131,2020-02-02,Melaka,0
132,2020-02-02,Negeri Sembilan,0
133,2020-02-02,Pahang,0
134,2020-02-02,Perak,0
135,2020-02-02,Perlis,0
136,2020-02-02,Pulau Pinang,0
137,2020-02-02,Sabah,0
138,2020-02-02,Sarawak,0
139,2020-02-02,Selangor,0
140,2020-02-02,Terengganu,0
141,2020-02-02,W.P. Kuala Lumpur,0
142,2020-02-02,W.P. Labuan,0
143,2020-02-02,W.P. Putrajaya,0
144,2020-03-02,Johor,0
145,2020-03-02,Kedah,0
146,2020-03-02,Kelantan,0
147,2020-03-02,Melaka,0
148,2020-03-02,Negeri Sembilan,0
149,2020-03-02,Pahang,0
150,2020-03-02,Perak,0
151,2020-03-02,Perlis,0
152,2020-03-02,Pulau Pinang,0
153,2020-03-02,Sabah,0
154,2020-03-02,Sarawak,0
155,2020-03-02,Selangor,0
156,2020-03-02,Terengganu,0
157,2020-03-02,W.P. Kuala Lumpur,0
158,2020-03-02,W.P. Labuan,0
159,2020-03-02,W.P. Putrajaya,0
160,2020-04-02,Johor,0
161,2020-04-02,Kedah,0
162,2020-04-02,Kelantan,0
163,2020-04-02,Melaka,0
164,2020-04-02,Negeri Sembilan,0
165,2020-04-02,Pahang,0
166,2020-04-02,Perak,0
167,2020-04-02,Perlis,0
168,2020-04-02,Pulau Pinang,0
169,2020-04-02,Sabah,0
170,2020-04-02,Sarawak,0
171,2020-04-02,Selangor,1
172,2020-04-02,Terengganu,0
173,2020-04-02,W.P. Kuala Lumpur,1
174,2020-04-02,W.P. Labuan,0
175,2020-04-02,W.P. Putrajaya,0
176,2020-05-02,Johor,0
177,2020-05-02,Kedah,0
178,2020-05-02,Kelantan,0
179,2020-05-02,Melaka,0
180,2020-05-02,Negeri Sembilan,2
181,2020-05-02,Pahang,0
182,2020-05-02,Perak,0
183,2020-05-02,Perlis,0
184,2020-05-02,Pulau Pinang,0
185,2020-05-02,Sabah,0
186,2020-05-02,Sarawak,0
187,2020-05-02,Selangor,0
188,2020-05-02,Terengganu,0
189,2020-05-02,W.P. Kuala Lumpur,0
190,2020-05-02,W.P. Labuan,0
191,2020-05-02,W.P. Putrajaya,0
192,2020-06-02,Johor,0
193,2020-06-02,Kedah,1
194,2020-06-02,Kelantan,0
195,2020-06-02,Melaka,0
196,2020-06-02,Negeri Sembilan,0
197,2020-06-02,Pahang,0
198,2020-06-02,Perak,0
199,2020-06-02,Perlis,0
200,2020-06-02,Pulau Pinang,0
201,2020-06-02,Sabah,0
202,2020-06-02,Sarawak,0
203,2020-06-02,Selangor,0
204,2020-06-02,Terengganu,0
205,2020-06-02,W.P. Kuala Lumpur,1
206,2020-06-02,W.P. Labuan,0
207,2020-06-02,W.P. Putrajaya,0
208,2020-07-02,Johor,1
209,2020-07-02,Kedah,0
210,2020-07-02,Kelantan,0
211,2020-07-02,Melaka,0
212,2020-07-02,Negeri Sembilan,0
213,2020-07-02,Pahang,0
214,2020-07-02,Perak,0
215,2020-07-02,Perlis,0
216,2020-07-02,Pulau Pinang,0
217,2020-07-02,Sabah,0
218,2020-07-02,Sarawak,0
219,2020-07-02,Selangor,0
220,2020-07-02,Terengganu,0
221,2020-07-02,W.P. Kuala Lumpur,0
222,2020-07-02,W.P. Labuan,0
223,2020-07-02,W.P. Putrajaya,0
224,2020-08-02,Johor,0
225,2020-08-02,Kedah,0
226,2020-08-02,Kelantan,0
227,2020-08-02,Melaka,0
228,2020-08-02,Negeri Sembilan,0
229,2020-08-02,Pahang,0
230,2020-08-02,Perak,0
231,2020-08-02,Perlis,0
232,2020-08-02,Pulau Pinang,0
233,2020-08-02,Sabah,0
234,2020-08-02,Sarawak,0
235,2020-08-02,Selangor,0
236,2020-08-02,Terengganu,0
237,2020-08-02,W.P. Kuala Lumpur,1
238,2020-08-02,W.P. Labuan,0
239,2020-08-02,W.P. Putrajaya,0
240,2020-09-02,Johor,0
241,2020-09-02,Kedah,0
242,2020-09-02,Kelantan,0
243,2020-09-02,Melaka,0
244,2020-09-02,Negeri Sembilan,0
245,2020-09-02,Pahang,0
246,2020-09-02,Perak,0
247,2020-09-02,Perlis,0
248,2020-09-02,Pulau Pinang,0
249,2020-09-02,Sabah,0
250,2020-09-02,Sarawak,0
251,2020-09-02,Selangor,1
252,2020-09-02,Terengganu,0
253,2020-09-02,W.P. Kuala Lumpur,0
254,2020-09-02,W.P. Labuan,0
255,2020-09-02,W.P. Putrajaya,0
256,2020-10-02,Johor,0
257,2020-10-02,Kedah,0
258,2020-10-02,Kelantan,0
259,2020-10-02,Melaka,0
260,2020-10-02,Negeri Sembilan,0
261,2020-10-02,Pahang,0
262,2020-10-02,Perak,0
263,2020-10-02,Perlis,0
264,2020-10-02,Pulau Pinang,0
265,2020-10-02,Sabah,0
266,2020-10-02,Sarawak,0
267,2020-10-02,Selangor,1
268,2020-10-02,Terengganu,0
269,2020-10-02,W.P. Kuala Lumpur,0
270,2020-10-02,W.P. Labuan,0
271,2020-10-02,W.P. Putrajaya,0
272,2020-11-02,Johor,0
273,2020-11-02,Kedah,0
274,2020-11-02,Kelantan,0
275,2020-11-02,Melaka,0
276,2020-11-02,Negeri Sembilan,0
277,2020-11-02,Pahang,0
278,2020-11-02,Perak,0
279,2020-11-02,Perlis,0
280,2020-11-02,Pulau Pinang,0
281,2020-11-02,Sabah,0
282,2020-11-02,Sarawak,0
283,2020-11-02,Selangor,0
284,2020-11-02,Terengganu,0
285,2020-11-02,W.P. Kuala Lumpur,0
286,2020-11-02,W.P. Labuan,0
287,2020-11-02,W.P. Putrajaya,0
288,2020-12-02,Johor,0
289,2020-12-02,Kedah,0
