state,year,cases_new
Johor,2020,5734
Johor,2021,199635
Kedah,2020,3024
Kedah,2021,137444
Kelantan,2020,758
Kelantan,2021,124684
Melaka,2020,1225
Melaka,2021,59581
Negeri Sembilan,2020,7828
Negeri Sembilan,2021,91253
Pahang,2020,1365
Pahang,2021,69086
Perak,2020,3195
Perak,2021,105924
Perlis,2020,46
Perlis,2021,4584
Pulau Pinang,2020,3488
Pulau Pinang,2021,133391
Sabah,2020,37040
Sabah,2021,168476
Sarawak,2020,1117
Sarawak,2021,223522
Selangor,2020,32395
Selangor,2021,657937
Terengganu,2020,325
Terengganu,2021,61799
W.P. Kuala Lumpur,2020,13487
W.P. Kuala Lumpur,2021,174816
W.P. Labuan,2020,1701
W.P. Labuan,2021,8286
W.P. Putrajaya,2020,282
W.P. Putrajaya,2021,6166
