,State,Total Cases,Population numbers,Total Area (km2),Population density,Percentage infected
0,Selangor,686170,6555400,7951,824.4749088,10.467248375385179
1,Sarawak,221042,2822200,124450,22.67738047,7.832258521720643
2,Sabah,203488,3833000,73261,52.31978815,5.308844247325855
3,Johor,202932,3794000,19166,197.9547115,5.348761201897733
4,Kuala Lumpur,187551,1746600,243,7187.654320999999,10.738062521470285
5,Kedah,139052,2194100,9492,231.15254950000002,6.337541588806345
6,Penang,135168,1774400,1049,1691.515729,7.6176735798016235
7,Kelantan,122535,1928800,15040,128.24468090000002,6.35291372874326
8,Perak,107163,2508900,21146,118.64655249999998,4.271314121726653
9,Negeri Sembilan,98444,1129100,6658,169.5854611,8.718802586130545
10,Pahang,68975,1684600,35965,46.83998332,4.0944437848747475
11,Terengganu,60384,1275100,12958,98.40253125,4.735628578150734
12,Melaka,60070,937500,1712,547.6051402,6.407466666666667
13,Labuan,9982,100100,92,1088.0434779999998,9.972027972027972
14,Putrajaya,6349,116100,49,2369.387755,5.468561584840654
15,Perlis,4422,255400,819,311.84371180000005,1.7314017227877838
