date,state,cases_new,Total cases as of date
25/1/2020,Johor,4,4
25/1/2020,Kedah,0,0
25/1/2020,Kelantan,0,0
25/1/2020,Melaka,0,0
25/1/2020,Negeri Sembilan,0,0
25/1/2020,Pahang,0,0
25/1/2020,Perak,0,0
25/1/2020,Perlis,0,0
25/1/2020,Penang,0,0
25/1/2020,Sabah,0,0
25/1/2020,Sarawak,0,0
25/1/2020,Selangor,0,0
25/1/2020,Terengganu,0,0
25/1/2020,Kuala Lumpur,0,0
25/1/2020,Labuan,0,0
25/1/2020,Putrajaya,0,0
26/1/2020,Johor,0,4
26/1/2020,Kedah,0,0
26/1/2020,Kelantan,0,0
26/1/2020,Melaka,0,0
26/1/2020,Negeri Sembilan,0,0
26/1/2020,Pahang,0,0
26/1/2020,Perak,0,0
26/1/2020,Perlis,0,0
26/1/2020,Penang,0,0
26/1/2020,Sabah,0,0
26/1/2020,Sarawak,0,0
26/1/2020,Selangor,0,0
26/1/2020,Terengganu,0,0
26/1/2020,Kuala Lumpur,0,0
26/1/2020,Labuan,0,0
26/1/2020,Putrajaya,0,0
27/1/2020,Johor,0,4
27/1/2020,Kedah,0,0
27/1/2020,Kelantan,0,0
27/1/2020,Melaka,0,0
27/1/2020,Negeri Sembilan,0,0
27/1/2020,Pahang,0,0
27/1/2020,Perak,0,0
27/1/2020,Perlis,0,0
27/1/2020,Penang,0,0
27/1/2020,Sabah,0,0
27/1/2020,Sarawak,0,0
27/1/2020,Selangor,0,0
27/1/2020,Terengganu,0,0
27/1/2020,Kuala Lumpur,0,0
27/1/2020,Labuan,0,0
27/1/2020,Putrajaya,0,0
28/1/2020,Johor,0,4
28/1/2020,Kedah,0,0
28/1/2020,Kelantan,0,0
28/1/2020,Melaka,0,0
28/1/2020,Negeri Sembilan,0,0
28/1/2020,Pahang,0,0
28/1/2020,Perak,0,0
28/1/2020,Perlis,0,0
28/1/2020,Penang,0,0
28/1/2020,Sabah,0,0
28/1/2020,Sarawak,0,0
28/1/2020,Selangor,0,0
28/1/2020,Terengganu,0,0
28/1/2020,Kuala Lumpur,0,0
28/1/2020,Labuan,0,0
28/1/2020,Putrajaya,0,0
29/1/2020,Johor,2,6
29/1/2020,Kedah,1,1
29/1/2020,Kelantan,0,0
29/1/2020,Melaka,0,0
29/1/2020,Negeri Sembilan,0,0
29/1/2020,Pahang,0,0
29/1/2020,Perak,0,0
29/1/2020,Perlis,0,0
29/1/2020,Penang,0,0
29/1/2020,Sabah,0,0
29/1/2020,Sarawak,0,0
29/1/2020,Selangor,0,0
29/1/2020,Terengganu,0,0
29/1/2020,Kuala Lumpur,0,0
29/1/2020,Labuan,0,0
29/1/2020,Putrajaya,0,0
30/1/2020,Johor,1,7
30/1/2020,Kedah,0,1
30/1/2020,Kelantan,0,0
30/1/2020,Melaka,0,0
30/1/2020,Negeri Sembilan,0,0
30/1/2020,Pahang,0,0
30/1/2020,Perak,0,0
30/1/2020,Perlis,0,0
30/1/2020,Penang,0,0
30/1/2020,Sabah,0,0
30/1/2020,Sarawak,0,0
30/1/2020,Selangor,0,0
30/1/2020,Terengganu,0,0
30/1/2020,Kuala Lumpur,0,0
30/1/2020,Labuan,0,0
30/1/2020,Putrajaya,0,0
31/1/2020,Johor,0,7
31/1/2020,Kedah,0,1
31/1/2020,Kelantan,0,0
31/1/2020,Melaka,0,0
31/1/2020,Negeri Sembilan,0,0
31/1/2020,Pahang,0,0
31/1/2020,Perak,0,0
31/1/2020,Perlis,0,0
31/1/2020,Penang,0,0
31/1/2020,Sabah,0,0
31/1/2020,Sarawak,0,0
31/1/2020,Selangor,0,0
31/1/2020,Terengganu,0,0
31/1/2020,Kuala Lumpur,0,0
31/1/2020,Labuan,0,0
31/1/2020,Putrajaya,0,0
1/2/2020,Johor,0,7
1/2/2020,Kedah,0,1
1/2/2020,Kelantan,0,0
1/2/2020,Melaka,0,0
1/2/2020,Negeri Sembilan,0,0
1/2/2020,Pahang,0,0
1/2/2020,Perak,0,0
1/2/2020,Perlis,0,0
1/2/2020,Penang,0,0
1/2/2020,Sabah,0,0
1/2/2020,Sarawak,0,0
1/2/2020,Selangor,0,0
1/2/2020,Terengganu,0,0
1/2/2020,Kuala Lumpur,0,0
1/2/2020,Labuan,0,0
1/2/2020,Putrajaya,0,0
2/2/2020,Johor,0,7
2/2/2020,Kedah,0,1
2/2/2020,Kelantan,0,0
2/2/2020,Melaka,0,0
2/2/2020,Negeri Sembilan,0,0
2/2/2020,Pahang,0,0
2/2/2020,Perak,0,0
2/2/2020,Perlis,0,0
2/2/2020,Penang,0,0
2/2/2020,Sabah,0,0
2/2/2020,Sarawak,0,0
2/2/2020,Selangor,0,0
2/2/2020,Terengganu,0,0
2/2/2020,Kuala Lumpur,0,0
2/2/2020,Labuan,0,0
2/2/2020,Putrajaya,0,0
3/2/2020,Johor,0,7
3/2/2020,Kedah,0,1
3/2/2020,Kelantan,0,0
3/2/2020,Melaka,0,0
3/2/2020,Negeri Sembilan,0,0
3/2/2020,Pahang,0,0
3/2/2020,Perak,0,0
3/2/2020,Perlis,0,0
3/2/2020,Penang,0,0
3/2/2020,Sabah,0,0
3/2/2020,Sarawak,0,0
3/2/2020,Selangor,0,0
3/2/2020,Terengganu,0,0
3/2/2020,Kuala Lumpur,0,0
3/2/2020,Labuan,0,0
3/2/2020,Putrajaya,0,0
4/2/2020,Johor,0,7
4/2/2020,Kedah,0,1
4/2/2020,Kelantan,0,0
4/2/2020,Melaka,0,0
4/2/2020,Negeri Sembilan,0,0
4/2/2020,Pahang,0,0
4/2/2020,Perak,0,0
4/2/2020,Perlis,0,0
4/2/2020,Penang,0,0
4/2/2020,Sabah,0,0
4/2/2020,Sarawak,0,0
4/2/2020,Selangor,1,1
4/2/2020,Terengganu,0,0
4/2/2020,Kuala Lumpur,1,1
4/2/2020,Labuan,0,0
4/2/2020,Putrajaya,0,0
5/2/2020,Johor,0,7
5/2/2020,Kedah,0,1
5/2/2020,Kelantan,0,0
5/2/2020,Melaka,0,0
5/2/2020,Negeri Sembilan,2,2
5/2/2020,Pahang,0,0
5/2/2020,Perak,0,0
5/2/2020,Perlis,0,0
5/2/2020,Penang,0,0
5/2/2020,Sabah,0,0
5/2/2020,Sarawak,0,0
5/2/2020,Selangor,0,1
5/2/2020,Terengganu,0,0
5/2/2020,Kuala Lumpur,0,1
5/2/2020,Labuan,0,0
5/2/2020,Putrajaya,0,0
6/2/2020,Johor,0,7
6/2/2020,Kedah,1,2
6/2/2020,Kelantan,0,0
6/2/2020,Melaka,0,0
6/2/2020,Negeri Sembilan,0,2
6/2/2020,Pahang,0,0
6/2/2020,Perak,0,0
6/2/2020,Perlis,0,0
6/2/2020,Penang,0,0
6/2/2020,Sabah,0,0
6/2/2020,Sarawak,0,0
6/2/2020,Selangor,0,1
6/2/2020,Terengganu,0,0
6/2/2020,Kuala Lumpur,1,2
6/2/2020,Labuan,0,0
6/2/2020,Putrajaya,0,0
7/2/2020,Johor,1,8
7/2/2020,Kedah,0,2
7/2/2020,Kelantan,0,0
7/2/2020,Melaka,0,0
7/2/2020,Negeri Sembilan,0,2
7/2/2020,Pahang,0,0
7/2/2020,Perak,0,0
7/2/2020,Perlis,0,0
7/2/2020,Penang,0,0
7/2/2020,Sabah,0,0
7/2/2020,Sarawak,0,0
7/2/2020,Selangor,0,1
7/2/2020,Terengganu,0,0
7/2/2020,Kuala Lumpur,0,2
7/2/2020,Labuan,0,0
7/2/2020,Putrajaya,0,0
8/2/2020,Johor,0,8
8/2/2020,Kedah,0,2
8/2/2020,Kelantan,0,0
8/2/2020,Melaka,0,0
8/2/2020,Negeri Sembilan,0,2
