,date,monthly,daily_partial,daily_full,daily,cumul
0,2021-02-24,2021-02,60,0,60,60
1,2021-02-25,2021-02,1146,0,1146,1206
2,2021-02-26,2021-02,4115,1,4116,5322
3,2021-02-27,2021-02,6723,1,6724,12046
4,2021-02-28,2021-02,6699,3,6702,18748
5,2021-03-01,2021-03,15372,4,15376,34124
6,2021-03-02,2021-03,21665,3,21668,55792
7,2021-03-03,2021-03,22688,5,22693,78485
8,2021-03-04,2021-03,19546,13,19559,98044
9,2021-03-05,2021-03,14328,4,14332,112376
10,2021-03-06,2021-03,15777,1,15778,128154
11,2021-03-07,2021-03,12536,2,12538,140692
12,2021-03-08,2021-03,27116,12,27128,167820
13,2021-03-09,2021-03,29974,10,29984,197804
14,2021-03-10,2021-03,28719,2,28721,226525
15,2021-03-11,2021-03,26475,0,26475,253000
16,2021-03-12,2021-03,26042,1,26043,279043
17,2021-03-13,2021-03,16837,0,16837,295880
18,2021-03-14,2021-03,10074,0,10074,305954
19,2021-03-15,2021-03,20284,1,20285,326239
20,2021-03-16,2021-03,25454,4,25458,351697
21,2021-03-17,2021-03,20787,60,20847,372544
22,2021-03-18,2021-03,17305,794,18099,390643
23,2021-03-19,2021-03,10723,3800,14523,405166
24,2021-03-20,2021-03,7710,6062,13772,418938
25,2021-03-21,2021-03,9703,5792,15495,434433
26,2021-03-22,2021-03,9716,14537,24253,458686
27,2021-03-23,2021-03,8303,20837,29140,487826
28,2021-03-24,2021-03,6294,22767,29061,516887
29,2021-03-25,2021-03,6434,19320,25754,542641
30,2021-03-26,2021-03,3940,12758,16698,559339
31,2021-03-27,2021-03,1699,14334,16033,575372
32,2021-03-28,2021-03,3667,12857,16524,591896
33,2021-03-29,2021-03,7755,27281,35036,626932
34,2021-03-30,2021-03,11457,29323,40780,667712
35,2021-03-31,2021-03,9819,27441,37260,704972
36,2021-04-01,2021-04,15792,26507,42299,747271
37,2021-04-02,2021-04,7583,22857,30440,777711
38,2021-04-03,2021-04,2673,14581,17254,794965
39,2021-04-04,2021-04,6001,8935,14936,809901
40,2021-04-05,2021-04,9194,19376,28570,838471
41,2021-04-06,2021-04,10976,21633,32609,871080
42,2021-04-07,2021-04,12665,18226,30891,901971
43,2021-04-08,2021-04,12046,14752,26798,928769
44,2021-04-09,2021-04,7194,14327,21521,950290
45,2021-04-10,2021-04,5571,10006,15577,965867
46,2021-04-11,2021-04,12469,10681,23150,989017
47,2021-04-12,2021-04,25303,13918,39221,1028238
48,2021-04-13,2021-04,16089,7683,23772,1052010
49,2021-04-14,2021-04,20925,7692,28617,1080627
50,2021-04-15,2021-04,18084,9150,27234,1107861
51,2021-04-16,2021-04,15609,3919,19528,1127389
52,2021-04-17,2021-04,8560,1071,9631,1137020
53,2021-04-18,2021-04,6091,3748,9839,1146859
54,2021-04-19,2021-04,24642,8302,32944,1179803
55,2021-04-20,2021-04,22062,11168,33230,1213033
56,2021-04-21,2021-04,15807,11718,27525,1240558
57,2021-04-22,2021-04,14359,15054,29413,1269971
58,2021-04-23,2021-04,12202,6671,18873,1288844
59,2021-04-24,2021-04,7947,3476,11423,1300267
60,2021-04-25,2021-04,9092,5684,14776,1315043
61,2021-04-26,2021-04,21307,8915,30222,1345265
62,2021-04-27,2021-04,22785,11828,34613,1379878
63,2021-04-28,2021-04,26411,13178,39589,1419467
64,2021-04-29,2021-04,6447,6036,12483,1431950
65,2021-04-30,2021-04,17701,8865,26566,1458516
66,2021-05-01,2021-05,2910,2468,5378,1463894
67,2021-05-02,2021-05,7611,8100,15711,1479605
68,2021-05-03,2021-05,24467,26664,51131,1530736
69,2021-05-04,2021-05,30076,19670,49746,1580482
70,2021-05-05,2021-05,32019,22864,54883,1635365
71,2021-05-06,2021-05,36989,18737,55726,1691091
72,2021-05-07,2021-05,32240,15445,47685,1738776
73,2021-05-08,2021-05,18615,8399,27014,1765790
74,2021-05-09,2021-05,25804,6584,32388,1798178
75,2021-05-10,2021-05,36630,24785,61415,1859593
76,2021-05-11,2021-05,30457,18403,48860,1908453
77,2021-05-12,2021-05,10304,7812,18116,1926569
78,2021-05-13,2021-05,111,7,118,1926687
79,2021-05-14,2021-05,61,7,68,1926755
80,2021-05-15,2021-05,10303,592,10895,1937650
81,2021-05-16,2021-05,9979,327,10306,1947956
82,2021-05-17,2021-05,32433,28108,60541,2008497
83,2021-05-18,2021-05,45669,32290,77959,2086456
84,2021-05-19,2021-05,50064,34019,84083,2170539
85,2021-05-20,2021-05,59122,21907,81029,2251568
86,2021-05-21,2021-05,42167,18771,60938,2312506
87,2021-05-22,2021-05,43182,3178,46360,2358866
88,2021-05-23,2021-05,37937,8367,46304,2405170
89,2021-05-24,2021-05,69570,26022,95592,2500762
90,2021-05-25,2021-05,69565,30690,100255,2601017
91,2021-05-26,2021-05,20294,1899,22193,2623210
92,2021-05-27,2021-05,58703,49466,108169,2731379
93,2021-05-28,2021-05,46792,27427,74219,2805598
94,2021-05-29,2021-05,50993,14976,65969,2871567
95,2021-05-30,2021-05,38338,24331,62669,2934236
96,2021-05-31,2021-05,67560,28580,96140,3030376
97,2021-06-01,2021-06,75296,24385,99681,3130057
98,2021-06-02,2021-06,96828,9842,106670,3236727
99,2021-06-03,2021-06,111169,7802,118971,3355698
100,2021-06-04,2021-06,86237,4934,91171,3446869
101,2021-06-05,2021-06,72043,1388,73431,3520300
102,2021-06-06,2021-06,80849,1572,82421,3602721
103,2021-06-07,2021-06,60614,5092,65706,3668427
104,2021-06-08,2021-06,108087,46106,154193,3822620
105,2021-06-09,2021-06,116015,40572,156587,3979207
106,2021-06-10,2021-06,113507,47248,160755,4139962
107,2021-06-11,2021-06,96127,30176,126303,4266265
108,2021-06-12,2021-06,102883,34000,136883,4403148
109,2021-06-13,2021-06,104456,26870,131326,4534474
110,2021-06-14,2021-06,146774,55686,202460,4736934
111,2021-06-15,2021-06,165941,55980,221921,4958855
112,2021-06-16,2021-06,204976,8177,213153,5172008
113,2021-06-17,2021-06,183842,44169,228011,5400019
114,2021-06-18,2021-06,152082,32588,184670,5584689
115,2021-06-19,2021-06,134630,36147,170777,5755466
116,2021-06-20,2021-06,121115,24171,145286,5900752
117,2021-06-21,2021-06,189908,54482,244390,6145142
118,2021-06-22,2021-06,198099,60682,258781,6403923
119,2021-06-23,2021-06,183958,79699,263657,6667580
120,2021-06-24,2021-06,181951,94365,276316,6943896
121,2021-06-25,2021-06,153565,68013,221578,7165474
122,2021-06-26,2021-06,140363,56157,196520,7361994
123,2021-06-27,2021-06,111226,65864,177090,7539084
124,2021-06-28,2021-06,165259,43342,208601,7747685
125,2021-06-29,2021-06,157965,85028,242993,7990678
126,2021-06-30,2021-06,173031,96501,269532,8260210
127,2021-07-01,2021-07,183106,86260,269366,8529576
128,2021-07-02,2021-07,169673,70328,240001,8769577
